Артикул,Group,Name,Measure,PriceUsl,PriceGoods
Дн0000299,ОБОИ,Снятие старых обоев,м.кв,30,0
Дн0000300,ОБОИ,Смывка краски соскабливание,м.кв,50,0
Дн0000301,ОБОИ,Штукатурка стен маячная,м.кв,165,40
Дн0000302,ОБОИ,Набивка сетки,м.кв,30,10
Дн0000303,ОБОИ,Установка перфоугла,м.п.,20,7
Дн0000304,ОБОИ,Установка наклонного перфоугла,м.п.,25,7
Дн0000305,ОБОИ,Шпаклевка стен под обои,м.кв.,65,30
Дн0000306,ОБОИ,Шпаклевка радиусных стен под обои,м.кв.,100,30
Дн0000307,ОБОИ,Поклейка флизелина на стены и потолок,м.кв.,65,25
Дн0000308,ОБОИ,Поклейка декоплинтуса пенопластового до 10см,м.п.,35,10
Дн0000309,ОБОИ,Поклейка декоплинтуса пенопластового свыше 10см,м.п.,55,15
Дн0000310,ОБОИ,Установка пенополиуретанового декоплинтуса,м.п.,115,50
Дн0000311,ОБОИ,Грунтовка стен и потолков,м.кв.,23,2
Дн0000312,ОБОИ,Поклейка обоев под покраску,м.кв.,65,0
Дн0000313,ОБОИ,Поклейка обоев виниловых,м.кв.,65,0
Дн0000314,ОБОИ,Поклейка обоев структурных,м.кв.,65,0
Дн0000315,ОБОИ,Поклейка обоев тканевых,м.кв.,140,0
Дн0000316,ОБОИ,Поклейка обоев бамбуковых,м.кв.,140,0
Дн0000317,Покраска,Снятие старых обоев,м.кв,30,0
Дн0000318,Покраска,Смывка краски соскабливание,м.кв,50,0
Дн0000319,Покраска,Штукатурка стен маячная,м.кв,165,40
Дн0000320,Покраска,Набивка сетки,м.кв,30,10
Дн0000321,Покраска,Шпаклевка стен под покраску,м.кв.,110,30
Дн0000322,Покраска,Шпаклевка радиусных стен под покраску,м.кв.,145,30
Дн0000323,Покраска,Шпаклевка радиусного потолка под покраску,м.п.,160,30
Дн0000324,Покраска,Шпаклевка прямого потолка под покраску,м.кв.,110,30
Дн0000325,Покраска,Установка перфоугла,м.п.,30,7
Дн0000326,Покраска,Установка наклонного перфоугла,м.п.,25,7
Дн0000327,Покраска,Покраска стен  потолков и обоев,м.кв.,60,15
Дн0000328,Покраска,Компресорная покраска стен и потолков,м.кв.,70,20
Дн0000329,Покраска,Грунтовка стен и потолков,м.кв.,23,2
Дн0000330,Декоративная штукатурка и шпаклевка,Снятие старых обоев,м.кв,30,0
Дн0000331,Декоративная штукатурка и шпаклевка,Смывка краски соскабливание,м.кв,50,0
Дн0000332,Декоративная штукатурка и шпаклевка,Штукатурка стен маячная,м.кв,165,40
Дн0000333,Декоративная штукатурка и шпаклевка,Набивка сетки,м.кв,30,10
Дн0000334,Декоративная штукатурка и шпаклевка,Грунтовка стен и потолков,м.кв.,23,2
Дн0000335,Декоративная штукатурка и шпаклевка,Устройство декоративной шпатлёвки ,м.кв.,90,10
Дн0000336,Декоративная штукатурка и шпаклевка,Устройство декоративной штукатурки ,м.кв.,95,15
Дн0000337,Пол,Демонтаж половой доски,м.кв.,55,0
Дн0000338,Пол,Демонтаж стяжки (до 50 мм),м.кв.,55,0
Дн0000339,Пол,Демонтаж стяжки (свыше 50 мм),м.кв.,85,0
Дн0000340,Пол,Демонтаж напольных покрытий,м.кв.,40,0
Дн0000341,Пол,Гидроизоляция пола,м.кв.,30,3
Дн0000342,Пол,Осыпка пола керамзитом,м.кв.,65,100
Дн0000343,Пол,Утепление пола пенопластом,м.кв.,60,50
Дн0000344,Пол,Устройство цементной стяжки пола до 50 мм,м.кв.,185,120
Дн0000345,Пол,Устройство цементной стяжки пола до 100 мм,м.кв.,245,180
Дн0000346,Пол,Заливка пола нивелирмассой,м.кв.,75,40
Дн0000347,Пол,Укладка OSB на пол,м.кв.,125,100
Дн0000348,Пол,Укладка паркетной доски на клей,м.кв.,155,0
Дн0000349,Пол,Укладка ламината,м.кв.,65,0
Дн0000350,Пол,Укладка линолеума,м.кв.,110,85
Дн0000351,Пол,Укладка ковролина,м.кв.,105,85
Дн0000352,Пол,Установка пластикового плинтуса,м.п.,50,20
Дн0000353,Пол,Установка деревяного плинтуса,м.п.,75,35
Дн0000354,Пол,Монтаж  плитки ( с клеем),м.кв.,170,20
Дн0000355,Пол,Установка порожка,м.п.,90,30
Дн0000356,Гипсокартон,Монтаж горизонтальго потолка г/к,м.кв.,125,70
Дн0000357,Гипсокартон, Монтаж наклонного потолка г/к,м.кв.,140,70
Дн0000358,Гипсокартон, Монтаж радиусного потолка г/к,м.п.,210,105
Дн0000359,Гипсокартон, Монтаж вертикальных стен г/к,м.кв.,135,70
Дн0000360,Гипсокартон, Монтаж наклонных стен г/к,м.кв.,140,70
Дн0000361,Гипсокартон, Монтаж радиусных стен г/к,м.кв.,210,105
Дн0000362,Гипсокартон,Монтаж вертикальных перегородок г/к  (две стороны),м.кв.,220,120
Дн0000363,Гипсокартон, Монтаж радиусных перегородок г/к,м.кв.,260,180
Дн0000364,Гипсокартон, Дошивка второго слоя г/к,м.кв.,75,70
Дн0000365,Гипсокартон, Утепление стен  перегородок,м.кв.,45,25
Дн0000366,Гипсокартон,Утепление потолка,м.кв.,55,25
Дн0000367,Гипсокартон,Монтаж паро-гидробарьера,м.кв.,35,10
